# MP2722
#
# REGISTER MAP
# I2C Slave Address: 3Fh
# Configuration Bytes: 00h~10h
# Status Bytes: 11h~16h
#
# STATUS BYTES (11h~16h)
# Legend: POR = default value; R/W = read/write; R = read-only; INT = interrupt; YM = the interrupt can be masked
# Bit , Name           , POR, R/W, INT, Description
REG11h,                ,    ,    ,    , 
7     , DPDM_STAT[3]   , -  , R  , No , Returns the input source D+/D- detection result. 0000: Not started (500mA) 0001: USB SDP (500mA) 0010: USB DCP (2A) 0011: USB CDP (1.5A) 0100: Divider 1 (1A) 0101: Divider 2 (2.1A) 0110: Divider 3 (2.4A) 0111: Divider 4 (2A) 1000: Unknown (500mA) 1001: High-voltage adapter (2A) 1110: Divider 5 (3A)
3     , CC1_SRC_STAT[1], 0  , R  , YM , 00: CC1 is vOPEN 01: CC1 detects vRd 10: CC1 detects vRa. A glitch in tPD_DEBOUNCE does not affect this result.
2     , CC1_SRC_STAT[0], 0  , R  , YM , 
1     , CC2_SRC_STAT[1], 0  , R  , YM , 00: CC2 is vOPEN 01: CC2 detects vRd 10: CC2 detects vRa. A glitch in tPD_DEBOUNCE does not affect this result.
0     , CC2_SRC_STAT[0], 0  , R  , YM , 
      ,                ,    ,    ,    , 
REG16h,                ,    ,    ,    , 
7     , RESERVED       , -  , R  , No , Reserved.
6     , TOPOFF_ACTIVE  , -  , R  , YM , 0: The top-off timer is not counting 1: The top-off timer is counting
5     , BFET_STAT      , -  , R  , No , 0: The battery is charging or disabled 1: The battery is discharging
4     , BATT_LOW_STAT  , -  , R  , YM , The hysteresis = 200mV. 0: VBATT is greater than BATT_LOW[1:0] 1: VBATT is below BATT_LOW[1:0]
3     , OTG_NEED       , -  , R  , Yes, If the boost needs to be turned on/off by CC detection this bit is set/reset with an INT pulse followed. 0: Boost should be disabled 1: Boost should be enabled
2     , VIN_TEST_HIGH  , -  , R  , Yes, 0: VIN is below the VIN_TEST threshold 1: VIN has reached the VIN_TEST threshold
1     , DEBUGACC       , -  , R  , YM , 0: Normal 1: Enters DebugAccessory.SNK state
0     , AUDIOACC       , -  , R  , YM , 0: Normal 1: Enters AudioAccessory state
